"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WESD"
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-03-06",,,"0.00","0.0",,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-03-07",,,"0.00","0.0",,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-03-08",,,"0.00","0.0",,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-03-09",,,"0.00","0.0",,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-03-10",,,"0.00","0.0",,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-03-11",,,"0.00","0.0",,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-03-12",,,"0.00","0.0",,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-03-13",,,"0.00","0.0",,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-03-14",,,"0.00","0.0",,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-03-15",,,"0.00","0.0",,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-03-16",,,"0.00","0.0",,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-03-17",,,"0.00",,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-03-18",,,"0.20",,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-03-19",,,"0.25",,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-03-20",,,"0.00","0.0",,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-03-21",,,"0.00","0.0",,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-03-22",,,"0.00","0.0",,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-03-23",,,"0.00","0.0",,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-03-25","    2","1.51",,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-03-26",,,"0.00",,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-03-27",,,"0.00","0.0",,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-03-30",,,"0.00","0.0",,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-03-31",,,"0.00","0.0",,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-04-01",,,"1.04",,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-04-02",,,"0.00",,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-04-03",,,"0.00","0.0",,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-04-04",,,"0.00","0.0",,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-04-05",,,"0.00","0.0",,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-04-06",,,"0.00","0.0",,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-04-07",,,"0.00","0.0",,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-04-08",,,"0.02",,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-04-09",,,"0.52",,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-04-10",,,"0.01",,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-04-11",,,"0.15",,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-04-26",,,"0.00","0.0",,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-04-27",,,"0.00","0.0",,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-04-28",,,"0.00","0.0",,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-04-29",,,"0.00",,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-04-30",,,"0.02",,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-05-01",,,"0.00","0.0",,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-05-02",,,"0.00","0.0",,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-05-03",,,"0.02",,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-05-04",,,"0.09",,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-05-05",,,"0.40",,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-05-06",,,"0.03",,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-05-07",,,"0.00","0.0",,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-05-09","    2","0.10",,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-05-10",,,"0.00","0.0",,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-05-11",,,"0.00","0.0",,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-05-13",,,"0.00","0.0",,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-05-14",,,"0.00","0.0",,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-05-15",,,"0.00","0.0",,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-05-16",,,"0.00","0.0",,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-05-17",,,"0.00",,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-05-18",,,"0.00","0.0",,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-05-19",,,"0.00","0.0",,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-05-20",,,"0.00","0.0",,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-05-21",,,"0.00","0.0",,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-05-22",,,"0.00","0.0",,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-05-23",,,"0.00","0.0",,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-05-24",,,"0.07",,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-05-25",,,"0.28",,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-05-26",,,"0.00","0.0",,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-05-27",,,"0.77",,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-05-28",,,"0.00","0.0",,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-05-29",,,"1.58",,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-05-30",,,"0.79",,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-05-31",,,"0.00",,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-06-01",,,"0.00","0.0",,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2021-06-02",,,"0.00","0.0",,,,,
